// PacMan
// Criação:     01 Jan 2013
// Atualização: 25 Ago 2021
// Descrição:   Nível 2 (Pivôs)
//
// Informações dos pivôs:
// left right up down posX posY

// linha 1
1 1 1 1 73 87
1 1 1 1 254 87
1 1 1 1 706 87
1 1 1 1 885 87

//linha 2
1 1 1 1 73 178
1 1 1 1 252 178
1 1 1 1 344 178
1 1 1 1 479 178
1 1 1 1 615 178
1 1 1 1 706 178
1 1 1 1 885 178

// linha 3
1 1 1 1 73 269
1 1 1 1 252 269
1 1 1 1 344 269
1 1 1 1 479 269
1 1 1 1 615 269
1 1 1 1 706 269
1 1 1 1 885 269

// linha 4
1 1 1 1 73 360
1 1 1 1 252 360
1 1 1 1 479 360
1 1 1 1 706 360
1 1 1 1 885 360
    
// linha 5 
1 1 1 1 73 450
1 1 1 1 252 450
1 1 1 1 344 450
1 1 1 1 479 450
1 1 1 1 615 450
1 1 1 1 706 450
1 1 1 1 885 450

// linha 6
1 1 1 1 73 541
1 1 1 1 252 541
1 1 1 1 344 541
1 1 1 1 479 541
1 1 1 1 615 541
1 1 1 1 706 541
1 1 1 1 885 541

// linha 7
1 1 1 1 76 631
1 1 1 1 252 631
1 1 1 1 706 631
1 1 1 1 885 631
